"","City","Name","Country","UN.Region.Level.1","UN.Region.Level.2","id","lang","CollectorNm","RespondentID","CollectorID","StartDate","EndDate","IPAddress","EmailAddress","FirstName","LastName","CustomData","q01","q01x","q0201","q0202","q0203","q0204","q03","q04","q04x","q0501a","q0501b","q0502a","q0502b","q0503a","q0503b","q0504a","q0504b","q0505a","q0505b","q0506a","q0506b","q0507a","q0507b","q0508a","q0508b","q05x","q0601","q0602","q0603","q0701","q0702","q0703","q0704","q0705","q0706","q08","q0901","q0902","q10","q10x","q11","q11x","q12","q13","q1401","q14x","q1501","q1502","q1503","q1504","q15x","q1601","q1602","q1603","q1604","q16x","q1701","q17x","q1801","q1802","q1803","q1804","q18x","q19","q19x","q20","q20x","q21","q21x","q22","q23","q2401","q2402","q2403","q2404","q2405","q2501a","q2501b","q2501c","q2501d","q2501e","q2501f","q2502a","q2502b","q2502c","q2502d","q2502e","q2502f","q2503a","q2503b","q2503c","q2503d","q2503e","q2503f","q2504a","q2504b","q2504c","q2504d","q2504e","q2504f","q2505a","q2505b","q2505c","q2505d","q2505e","q2505f","q2506a","q2506b","q2506c","q2506d","q2506e","q2506f","q2507a","q2507b","q2507c","q2507d","q2507e","q2507f","q2508a","q2508b","q2508c","q2508d","q2508e","q2508f","q2509a","q2509b","q2509c","q2509d","q2509e","q2509f","q2510a","q2510b","q2510c","q2510d","q2510e","q2510f","q2511a","q2511b","q2511c","q2511d","q2511e","q2511f","q25x","q2601","q2602","q2603","q2604","q2605","q2606","q2607","q2608","q26x","q27","q28","q29","q29x","q30","q31","q31x","q32a","q32b","q32x","q3301","q3302","q3303","q3304","q3305","q3306","q3307","q3308","q3309","q3310","q33x","q34","q34x","q35","q35x","q3601","q3602","q3603","q3701","q3702","q3703","q3704","q3705","q3706","q3707","q3708","q37x","q3801","q3802","q3803","q3804","q3805","q3806","q3807","q3808","q3809","q3810","q3811","q3812","q3813","q38x","q39","q4001a","q4001b","q4001c","q4001d","q4001e","q4001f","q4002a","q4002b","q4002c","q4002d","q4002e","q4002f","q4003a","q4003b","q4003c","q4003d","q4003e","q4003f","q4004a","q4004b","q4004c","q4004d","q4004e","q4004f","q4005a","q4005b","q4005c","q4005d","q4005e","q4005f","q4006a","q4006b","q4006c","q4006d","q4006e","q4006f","q4007a","q4007b","q4007c","q4007d","q4007e","q4007f","q4008a","q4008b","q4008c","q4008d","q4008e","q4008f","q4009a","q4009b","q4009c","q4009d","q4009e","q4009f","q4010a","q4010b","q4010c","q4010d","q4010e","q4010f","q4011a","q4011b","q4011c","q4011d","q4011e","q4011f","q4012a","q4012b","q4012c","q4012d","q4012e","q4012f","q4013a","q4013b","q4013c","q4013d","q4013e","q4013f","q4014a","q4014b","q4014c","q4014d","q4014e","q4014f","q4015a","q4015b","q4015c","q4015d","q4015e","q4015f","q4016a","q4016b","q4016c","q4016d","q4016e","q4016f","q4017a","q4017b","q4017c","q4017d","q4017e","q4017f","q4018a","q4018b","q4018c","q4018d","q4018e","q4018f","q4019a","q4019b","q4019c","q4019d","q4019e","q4019f","q4020a","q4020b","q4020c","q4020d","q4020e","q4020f","q40x","q41","nQ","iQ","X41","Univ","Answered","Completion"
"11","AVILÉS","Aviles","Spain","Southern Europe","Europe",205,"es",,,,,,,,,,,66,"AVILÉS",,,,,1,2,"",1,,,1,,,,,,,,,,,,,"",82427,"2014","Padrón Municipal de Habitantes","2011","64.20%","2007","59.80%","2003","61.21%",667,12,12,43,"66980725,05",43,"70288339,92",1,1,7,,8,4,2,3,"Multas, intereses, arrendamientos y concesiones",4,9,2,1,"",3,"",2,2,2,,"",1,,3,"Existen diversos límites legales concurrentes, un límite general para la totalidad de los ayuntamientos, e individuales según la situación económico-financiera y presupuestaria de la propia entidad",2,,"",2,"","","","","",3,3,1,1,1,,4,4,1,1,1,,3,3,1,1,1,,4,4,1,1,1,,3,3,1,1,1,,4,4,1,1,1,,3,3,1,1,1,,4,4,1,1,1,,,,,,,,4,4,1,1,1,,4,4,1,1,1,,"",1,1,1,1,1,,,,"",2,"",2,,"",1,,3,1,"PACTO AVILÉS ACUERDA - POR EL DESARROLLO ECONÓMICO, EL EMPLEO Y LA COHESIÓN SOCIAL",,,,,1,,,,,,"Encuestas, Observatorio Socioeconómico",3,"El Gobierno Local tiene direnetes Áreas con competencia en esta materia: Área de Movilidad y Servicios Urbanos, Área de Urbanismo y Vivienda, y Área de Policía Local. Cada área dispone de medios, aunque no existe ningún Servicio Municipal de Transporte Urbano.",,"","Isla de la Innovación","Accesos a Avilés","Empleo, política social, diversificación económica e industrial.",,,,,,,,1,"Ya hemos dicho que no existe autoridad integrada de transporte urbano. El Área de Movilidad y Servicios Urbanos tiene encomendado el transporte y el mantenimiento de vías públicas, el Área de Urbanismo asume competencias en nuevos trazados de vías de transportes, etc., y el Área de Policía Local es competente en la gestión del tráfico.",,,,,1,1,,,,,,,,"",1,4,4,1,1,1,,4,4,1,1,1,,4,4,1,1,1,,1,1,1,1,,,3,3,1,1,1,,3,3,1,1,1,,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,,4,4,1,1,1,,,,,,,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,4,4,1,1,1,,"","La Ley (Nacional) 27/2013 de racionalización y sostenibilidad d ela Administración supone una pérdida del ámbito competencial de los ayuntamientos, la administración más cercana a la ciudadanía y el espacio más adecuado para promover la participación ciudadana en la gestión de los asuntos públicos, lo que tendrá consecuencias en los modelos de gobernanza participativa.",185,56.92,,37,"#VALUE!","#VALUE!"
"12","Ayuntamiento de Bilbao","Bilbao","Spain","Southern Europe","Europe",217,"es",,,,,,,,,,,66,"Ayuntamiento de Bilbao",,,,,1,2,"Es elegido por el Pleno Municipal.",1,1,,1,1,,1,,,,,,,,,,"",347278,"2014","Bilbao Observatorio (www.bilbao.net/BilbaoEkintza)","2011","169.971 (61,14%)","2007","169.503 (56,92%)","2003","209.520 (68,29 %)",2431,,,43,"Gasto liquidado en 2013: 437.298.148,31 euros",43,"Ingresos al término de 2013: 460.029.185,37€",1,1,5,,3,3,2,2,"El porcentaje de ingresos propios sobre el total al término del 2013 ronda en 39% tanto en el presupuesto inicial como en la ejecución. (DETAILED EXPLANATION IN PDF)",7,2,2,1,"DETAILED DESCRIPTION IN THE PDF",3,"Información no disponible.",2,2,2,1,"Si bien es difícil precisar el porcentaje exacto de suelo que corresponde a nivel de todo el  municipio a las diferentes administraciones públicas, sí es significativo que en el ámbito  de Zorrotzaurre, como nueva zona de desarrollo urbanístico de la ciudad, sobre una  superficie de 830.000m2, el Ayuntamiento de Bilbao es titular del 12% y el Gobierno Vasco   del 46%.",1,,3,"DETAILED DESCRIPTION IN PDF",2,,"",1,"Ibaiondo: 61.574 habitantes (2014)","Abando: 51.322 habitantes (2014)","Deusto: 49.583 habitantes (2014)","Errekalde: 47.557 habitantes (2014)","Begoña: 41.348 habitantes (2014) , Uribarri: 36.595 habitantes (2014), Basurto-Zorrotza: 32.298 habitantes (2014), Otxarkoaga-Txurdinaga: 27.001 habitantes (2014)",2,4,,4,1,,2,4,,3,1,,1,3,,3,2,,1,2,,4,1,,2,3,,3,2,,2,3,,2,3,,1,2,,4,2,,1,2,,4,2,,,,,,,,1,4,,4,2,,2,4,,3,2,,"Notas aclaratorias:    Por debajo del nivel municipal: Consejos de Distritos  Ciudad / Nivel Municipal: Ayuntamiento de Bilbao  Área Metropolitana: No aplica  Región: Comunidad Autónoma del País Vasco y Diputación Foral de Bizkaia  Estado: Gobierno Español  Otro: Ninguno",1,1,1,1,,,1,,"DETAILED DESCRIPTION IN THE PDF",,"No es una cuota, pero los grupos infrarrepresentados, participan en la toma de decisiones a través de los Consejos Sectoriales:       * Consejo Local de la Inmigración     * Consejo Municipal de Mujeres por la Igualdad de Bilbao      * Consejo Municipal de Cooperación de Bilbao     * Consejo Municipal de Bienestar Social de Bilbao",,,"No hay un mecanismo específico, pero sí hay un mecanismo general de quejas y propuestas.    La persona interesada en interponer una queja o denuncia lo puede hacer directamente a través del sitio web municipal www.bilbao.net o enviando un escrito formal dirigido al Ayuntamiento.",2,,,,"",1,1,1,,,,,1,,1,"Implementación de un modelo de gestión basado en el rigor económico y los presupuestos estratégicos.  DETAILED DESCRIPTION IN THE PDF",1,"Consorcio de Transportes de Bizkaia (http://www.cotrabi.com)",7,"Bus","Reto 1. Afrontar con éxito la nueva transformación económica para construir una ciudad competitiva basada en la gestión del conocimiento y la innovación. Posicionándose como una ciudad innovadora, no solo en sus dinámicas urbanísticas y de ocio y cultura, sino también en sus dinámicas empresariales y de atracción, retención y desarrollo del talento. Generar empleo y riqueza para la ciudad y sus habitantes gracias a la consolidación de sus sectores económicos tradicionales y la apuesta por los sectores emergentes, dinámicos y con capacidad de transformación definidos como estratégicos por la ciudad.","Reto 2: Seguir mejorando en el Buen Gobierno, la Transparencia y la participación ciudadana.","Reto 3. Lograr una ciudad cohesionada y equilibrada manteniendo un balance entre todos los barrios.",,,,,1,,,1,"Está pendiente de aprobación el Anteproyecto de la Ley Municipal de Euskadi. http://noticias.eudel.net/noticia/anteproyecto-de-la-ley-municipal/",,,,,,,,,,,,,1,"",1,2,4,,1,1,,1,4,,1,1,,1,3,,1,3,,1,3,,1,1,,1,4,,2,1,,1,4,,3,1,,2,4,,3,1,,1,3,,4,1,,1,3,,4,1,,1,2,,4,1,,1,2,,4,1,,1,3,,3,1,,1,2,,4,4,,2,4,,1,1,,2,4,,1,1,,1,4,,4,1,,1,4,,4,1,,1,2,,4,2,,1,2,,4,1,,1,4,,2,1,,"Notas aclaratorias:  Por debajo del nivel municipal: Consejos de Distritos Ciudad / Nivel Municipal: Ayuntamiento de Bilbao Área Metropolitana: No aplica Región: Comunidad Autónoma del País Vasco y Diputación Foral de Bizkaia Estado: Gobierno Español Otro: Ninguno","",207,63.69,,39,"#VALUE!","#VALUE!"
"13","Ayuntamiento de l'Eliana (Valencia)","L'Eliana","Spain","Southern Europe","Europe",215,"es",,,,,,,,,,,66,"Ayuntamiento de l'Eliana (Valencia)",,,,,1,2,"",1,,,1,,,,,,,,,,,,,"",16500,"2013","Instituto Nacional de de empadronamiento","2011","78","2007","76","2003","79",210,1,2,43,"17.000.000,00euro",43,"17.400,000,00",1,1,8,,4,4,2,6,"participacion en ingresos del Estado,",2,4,,,"",2,"muy poco 1 por ciento?",2,2,2,,"",1,,3,"el 20 por ciento del presupuesto como amortizacion. Ahora muchos limites mas",2,,"",2,"","","","","",,,,,4,,2,4,,,,,3,,,,4,,3,,,,4,,,,,,4,,4,,,,,,,,,,4,,2,,,,4,,,,,,,,3,,,,,,3,,,,3,,"",1,,1,1,,,,,"",2,"",2,,"",2,,,,"",,,,,,,,,,,"",1,"",12,"","el paro","los servicios sociales","el desempleo",,,,1,1,,,,"",,,,,,,1,1,,1,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Se está produciendo una involución en la capacidad de gobierno, propiciada por una parte porque las autoridades politicas se han excedido en la aplicación de las facultades concedidas por la ley. Ello ha dado lugar a una respuesta por el gobierno central para restringir el grado de autonomia para el autogobierno. Se está produciendo una recentralización con ocasion de un reciente cambio legislativo. El sistema es complejo, pero puede funcionar armonicamente, sin embargo, tambien puede ser mal utilizado. La respuesta ha sido excesiva. En lugar de corregir y redireccionar, se trata de restringir y regresar al modelo anterior a la constitucion de 1978 de un gobierno local debil con pocas competencias. Es decir a un Estado mas centralizado.",79,24.31,,36,"#VALUE!","#VALUE!"
"14","Barcelona","Barcelona","Spain","Southern Europe","Europe",209,"es",,,,,,,,,,,66,"Barcelona",,,,,1,2,"",1,,,1,,,,,,,,,,,,,"",1611822,"2013","Departamento de Estadística del Ayuntamiento de Barcelona","2011","53%","2007","49,6%","2003","59,1%",12326,,,43,"2.285 millones",43,"2.500,2 millones",1,1,7,,8,3,2,4,"Resto de Ingresos Propios",2,5,2,2,"Otros Entes Locales",,"",,,,,"",1,,3,"Leyes de Estabilidad Presupuestaria/Normas de Tutela Financiera",1,,"Área Metropolitana de Barcelona",1,"Distritos","","","","",2,4,4,4,3,,2,3,3,3,2,,2,2,2,3,4,,2,4,2,3,3,,2,3,4,3,3,,1,2,3,3,4,,1,3,2,4,2,,1,3,2,4,2,,,,,,,,2,3,1,4,4,,2,3,1,3,4,,"",1,1,1,1,,,,,"",2,"",1,,"Síndic de Greuges (Defensor del Pueblo)  Oficina Anticorrupción",1,,5,2,"Plan Estratégico Metropolitano de Barcelona - Visión 2020",1,1,1,1,,,,1,,,"",2,"",5,"También cubre: tranvía, metro y tren suburbano","Fomentar la participación i la coresponsabilidad de los ciudadanos.","Celebración de consultas abiertas a la ciudadanía.","Avanzar en la instauración del Open Data.",,,1,1,1,,,,"",,,,1,,,,,,,1,,,"",1,,4,3,2,2,,,4,3,2,2,,,3,2,3,3,,,3,2,3,3,,,3,4,3,3,,,4,3,3,2,,,4,4,3,1,,,3,3,3,1,,,3,3,3,1,,,3,3,3,3,,,3,3,2,1,,,3,3,3,3,,,3,3,3,3,,,4,2,2,2,,,4,2,2,2,,,4,2,2,2,,,4,2,2,2,,,2,2,3,3,,,2,2,3,3,,,4,3,4,2,,"","",202,62.15,,40,"#VALUE!","#VALUE!"
"15","Blumenau","Blumenau","Brazil","South America","Latin America and the Caribbean",211,"es",,,,,,,,,,,29,"Blumenau",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",324767,"2013","IBGE","2012 (2º Turno)","194.307 (84,46%)","2012 (1º Turno)","197.948 (86,04%)","2010 (2ª Turno)","193.238 (86,93%)",8189,3,12,20,"933.448.453,04 (2013)",20,"933.448.453,04 (2013)   ** Ingresos Corrientes (2013)",1,1,6,,3,2,1,7,"",5,4,2,2,"",11,"",11,11,11,11,"",1,,3,"Maximos establecidos según Ley Complementar 101/2000 (Ley de Responsabilidad Fiscal)",1,,"Região Metropolitana do Vale Rio Itajaí",1,"Itoupava Central","Velha Central","Garcia","Itoupava Norte","Itoupavazinha",2,4,2,2,3,2,2,4,2,3,3,2,2,4,2,3,3,2,2,4,2,3,3,2,2,4,2,2,2,2,2,4,2,2,2,3,2,4,2,4,4,3,2,4,2,4,,,,,,,,,2,3,2,4,2,2,2,4,2,3,3,2,"",1,1,1,,,,1,,"",2,"",1,,"Por medio de la """"Ouvidoria Central de la Alcaldía (llamando el numero telefónico 156). Hay también órganos de la Alcaldía que tiene """"Ouvidoria"""" própia, como es el caso de la Salud, del Seterb (Tránsito) e del Samae (Água, Saneamiento y Recolección de Basura).",1,,3,1,"Blumenau Quer Mais",,,,,,,,,,1,"Planes Estratégicos Sectoriales de Gobierno.",2,"Serviço Autônomo Municipal de Trânsito e Transporte de Blumenau",12,"Aeropuerto y estación de autobuses","Presupuesto","Politicas Sociales y de Prevención de Desastres","Modernización de la Gestión",,,,1,,1,1,,"",1,,,1,,,1,,,,,,,"",1,2,4,2,3,3,2,2,4,2,3,3,2,2,4,2,3,3,2,2,4,2,3,3,2,2,4,2,2,2,2,2,4,2,3,3,3,2,4,2,2,2,3,2,3,2,3,3,2,2,3,2,3,3,2,2,3,2,4,4,2,2,3,2,4,4,2,2,3,2,4,4,2,2,3,2,4,4,2,2,4,2,3,3,2,2,4,2,2,2,2,2,4,2,4,4,2,2,4,2,2,2,2,2,2,2,4,4,2,2,2,2,4,4,2,2,4,2,2,2,2,"","",258,79.38,,40,"#VALUE!","#VALUE!"
"16","Budapest/City Council","Budapest","Hungary","Eastern Europe","Europe",124,"en",,,,,,,,,,,99,"Budapest/City Council",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",,"2011","National Statistic Office","2010","43,59","2006","55,89","2002","52,68",120000,1,2,58,"314 421 653 000",58,"314 421 653 000",1,1,7,,6,5,4,2,"",5,,,,"",3,"",3,4,,6,"",1,,3,"Above 50 million HUF required a permission of Central Government",1,,"Hungarian Central Region",1,"23 Districts of Budapest with Local Governments","","","","",1,4,1,2,2,2,3,4,2,2,2,1,1,4,2,3,4,3,4,2,1,1,3,2,2,3,1,2,4,2,1,4,1,1,4,2,1,1,1,1,4,2,2,1,1,1,4,2,2,1,1,1,3,4,2,2,1,1,4,2,3,4,1,1,4,4,"",1,1,1,,1,,,,"",2,"",2,,"",1,,1,4,"City and Territorial Development Strategic Plan",1,1,1,1,,1,1,1,,,"",2,"",6,"","Public transportation","Sustainable development","Social security",,1,1,1,,,,,"",1,1,,1,,,,,,,,,,"",1,2,4,1,1,1,2,1,2,1,1,1,4,1,1,1,1,1,4,1,4,1,1,1,4,1,2,1,1,1,4,1,4,1,1,3,3,1,4,1,1,2,3,1,4,1,1,2,1,1,4,1,1,2,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,2,2,4,1,1,4,1,1,3,1,4,2,1,1,1,1,4,2,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,2,4,1,1,3,1,"","",259,79.69,,39,"#VALUE!","#VALUE!"
"17","Cantagalo-RJ","Cantagalo ","Brazil","South America","Latin America and the Caribbean",152,"es",,,,,,,,,,,29,"Cantagalo-RJ",,,,,1,1,"",1,,,,,,,,,,,,,,,,"",19870,"2013","IBGE","2012","87%","","","","",1050,2,1,20,"R$ 75.503.442,90",20,"R$ 76.125.021,50",1,1,3,,3,2,,,"",6,5,1,1,"",2,"",2,1,1,,"",2,,,"",2,,"",1,"Distrito de Cantagalo","Distrito de Santa Rita da Floresta","Distrito de Euclidelândia","Distrito de São sebastião do Paraíba","Distrito de Boa Sorte",3,2,1,1,1,,4,4,1,1,1,,2,2,1,1,1,,3,3,1,2,2,,2,2,1,3,2,,2,2,1,4,2,,3,3,1,2,2,,3,3,1,2,2,,,,,,,,2,2,1,3,1,,3,3,1,2,2,,"",1,1,1,1,1,,,,"",2,"",1,,"Ouvidoria Municipal, Audiências Públicas, Ministério Público, Câmara Municipal, Mensagens Eletrônicas, Requerimentos Administrativos e diretamente as autoridades legalmente  instituídas.",1,,9,2,"Plano Diretor Municipal (esta sendo revisado este ano)",1,1,1,,1,1,1,1,,1,"",2,"",4,"","Saneamento Basico","atendimento de media e alta complexidade no Sistema de Saude","Ensino Tecnico e  Profissionalizante",1,,,1,1,,,,"",,,,,,1,,,1,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",123,37.85,,39,"#VALUE!","#VALUE!"
"18","CARTAGENA DE INDIAS, D. T. Y C.","Cartagena","Colombia","South America","Latin America and the Caribbean",181,"es",,,,,,,,,,,47,"CARTAGENA DE INDIAS, D. T. Y C.",,,,,,1,"",1,,,1,1,,1,,1,,1,,,,,,"",987000,"Proyecciones sobre la base del Censo 2005","DANE","2013","29%","2011","48%","2007","45%",7500,7,12,142,"631579000",142,"640000000",1,1,12,,12,12,12,12,"",12,12,12,12,"",11,"",11,11,11,11,"",1,,3,"",2,,"",1,"ALCALDÍA MAYOR","INSTITUTOS DESCENTRALIZADOS","ALCALDÍAS LOCALES","","",2,4,1,2,3,2,3,4,1,2,3,2,2,3,1,2,3,2,3,3,1,2,3,2,3,3,1,3,3,2,2,2,1,2,4,2,3,4,1,3,4,2,3,4,1,3,4,2,,,,,,,3,4,1,3,4,2,3,4,1,3,4,2,"",1,1,1,1,,,,,"",2,"",1,,"Derecho de Petición que interponen los ciudadanos ante las autoiridades, Acciones de Tutela, Acciones popuares, ante entidades como la Personería, Procuraduría, Defensoría del Pueblo y otras instancias.",1,,2,1,"AHORA SÍ CARTAGENA",,,,,,,,,1,,"",2,"",12,"","Garantizar seguridad ciudadana","Aumentar la competitividad","Fortalecimiento institucional",,,,,,,1,,"",,,,1,1,,1,1,,,1,,,"",1,2,3,1,3,3,2,3,2,1,3,3,2,3,3,1,3,3,2,3,4,1,3,3,2,3,4,1,3,3,4,2,4,1,3,3,4,2,4,1,3,3,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,4,2,1,1,1,1,4,2,2,4,1,3,3,2,2,4,1,3,3,3,2,4,1,3,3,3,2,4,1,3,3,3,1,4,1,3,3,3,1,4,1,3,3,3,2,4,1,3,3,3,"","",256,78.77,,39,"#VALUE!","#VALUE!"
"19","Centelles","Centelles","Spain","Southern Europe","Europe",180,"es",,,,,,,,,,,66,"Centelles",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",7367,"2013","Padrón Municipal","2011","63,2","2007","67","2003","70",50,12,12,43,"5.562.520",43,"6.434.120",1,1,6,,4,3,,2,"Patrimonio",3,4,,,"",11,"",11,11,11,11,"",1,,3,"",2,,"",2,"","","","","",,2,,4,4,,,4,,3,2,,,3,,4,4,,,4,,3,2,,,4,,,,,,4,,2,2,,,2,,4,2,,,2,,4,3,,,,,,,,,3,,3,2,,,4,,2,2,,"",1,,1,1,,,,,"",2,"",2,,"",2,,,,"",,,,,,,,,1,,"",3,"",,"","Desempleo","Crisis económica","Servicios Sociales",,,,1,1,,,,"",1,1,,,1,,1,,,1,1,,,"",1,,4,,2,1,,,1,,2,4,,,1,,2,4,,,3,,3,4,,,2,,2,2,,,2,,4,2,,,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,4,,,2,,4,4,,,4,,2,2,,,4,,2,2,,,2,,4,4,,,2,,4,4,,,2,,4,3,,,2,,4,3,,,4,,4,4,,"","",140,43.08,,36,"#VALUE!","#VALUE!"
"20","City of Ghent","Ghent","Belgium","Western Europe","Europe",72,"en",,,,,,,,,,,19,"City of Ghent",,,,,1,2,"",1,,,1,1,1,1,,,,,,,,,,"",250284,"2013","Bevolkingsregister Stad Gent (bevolkings- en vreemdelingenregister)","2012","90,32","2006","92,93","","",4434,,,43,"755698358",43,"751700437",1,1,3,,4,8,2,,"",9,2,2,,"",3,"",11,11,11,11,"",1,,3,"Multi-annual budget needs to be in balance",2,,"",2,"","","","","",,,,4,,,,4,,4,,,,2,,4,3,,,4,,4,2,,,3,,4,2,,,4,,4,2,,,2,,4,3,,,3,,4,,,,2,,4,,,,3,,,4,,,4,,4,,,"",1,1,1,1,1,,,,"",2,"",1,,"Ombudsman function",1,,1,2,"Gent2020",1,1,1,1,,1,1,1,,,"",3,"",,"","(Youth) unemployment","Influx of migrants from Eastern Europe (esp Roma)","Climate (CO2 neutrality)",,,,1,1,,,,"",,,,,,,,,,,,,1,"",1,,4,,3,,,,3,,4,,,,3,,4,,,,3,,4,,,,3,,4,,,,2,,4,,,,2,,4,,,,2,,4,,,,2,,4,,,,,,,,,,,,,,,,1,,4,,,,,,4,,,,4,,3,,,,4,,3,,,,3,,4,,,,3,,4,,,,1,,4,,,,1,,4,,,,3,,4,3,,"","",133,40.92,,38,"#VALUE!","#VALUE!"
"21","City of Gothenburg","Gothenburg","Sweden","Northern Europe","Europe",137,"en",,,,,,,,,,,197,"City of Gothenburg",,,,,1,2,"",1,,,,,,,,,,,,,,1,,"Different kind of committees including city committees and municipal ownd company.  Only Parlament have th leislativ power in our country",533260,"2013","Central Bureau of Statistics","2002","74,1 %","2006","76,2 %","2010","79,1 %",,12,12,121,"30 733 000 000",121,"32 354 000 000",1,2,4,,9,4,2,2,"",1,2,1,2,"EU grants",6,"",6,2,2,11,"",1,,1,"",1,,"The Gothenburg Region Association of Local Authorities",1,"District Committees of Majorna-Linné","District Committes of Centrum","District Committes of Örgryte-Härlanda","District Committes of Askim-Frölunda-Högsbo","District Committes of Västra Hisingen (and than it's 5 more district committees)",2,4,3,3,2,,2,4,,,,,2,2,2,2,4,,4,3,,,3,,,3,,,4,2,,,,,,,2,3,,4,2,,4,3,,,3,,,3,,,2,4,,2,,2,4,,2,3,2,3,3,2,"60 per cent of cases the decision is influenced by EU legislation",1,1,,,,,,1,"citizenship, youth Council, different kinds of Advisory Council - for example  for the disabled",2,"",1,,"City employees and elected officials may now - anonymously or openly - move forward with their suspicions of wrongdoing to an external function or reception directly to the city's internal investigators (whistleblower), internal control, Municipal Audit Committe. You have the right to inspect all documents and information held by the municipality, thanks to open government (the principle of public access). Exceptions are what is classified, and work materials.",1,,6,6,"Comprehensive Plan for Gothenburg",1,1,1,1,1,1,1,1,,,"",2,"",12,"cycling, bus, suburban rail, local roads, main roads and traffic management","desegregation in the community and residential segregation","financing of infrastructure development","insufficient housing to whitstand increased urbanization",,1,,,,,,,"",,,,,,,,,,,,,1,"",1,,4,,,,,,4,,,,,,,,,,,,,,,,,,2,,2,2,4,,4,2,3,,,,2,,4,,,,4,,4,,,,2,,4,,,,,,,,,,,,,,,,2,2,3,4,,,,,4,2,,,4,,,,,,4,,,,,,4,2,,,,,4,,,,,,,,2,4,,,,,,4,,,4,2,2,2,,"","",152,46.77,,40,"#VALUE!","#VALUE!"
"22","Elvas","Elvas","Portugal","Southern Europe","Europe",200,"es",,,,,,,,,,,184,"Elvas",,,,,1,1,"",,,1,1,,,,,,,,,,,,,"Câmara/Presidente - Executivo  Assembleia - Legislativo",23078,"2011","Censos 2011","2014","29,52%","2013","48,03%","2011","50,30%",251,,,43,"27.469.435,13",43,"29.660.246,21",1,1,2,,2,2,2,,"Impuestos - 27.970,47€ (rub 02) ; Tasas de uso - 118.460,29€ (rub 04) ; Venta de Bienes - 858.438,93€ (rub 07) 1.738.309,46€ (rub 05)",,4,,,"27,93%",2,"",2,2,2,,"",1,,3,"",2,,"",1,"Junta de Feguesia","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,1,1,1,,,,,"",2,"",1,,"- Sensibilização para as consequências da corrupção e infrações conexas;  - Verificação periódica e aleatória de processos por um auditor interno ou auditoria externa em outsourcing;  - Reforço das medidas de controlo interno, numa perspectiva",2,,,,"",,,,,,,,,,,"",,"",,"","Eurocidade","","",,,,1,1,,,,"",,1,,,,,,,1,1,1,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",58,17.85,,38,"#VALUE!","#VALUE!"
